web-scraper-order,web-scraper-start-url,select,select-href,pagination,prod,prod-href,dispo,gtin,marque,gamme,gamer,systeme,taille_ecran,resolution,processeur,type_processeur,ref_proc,freq_processeur,memoire_cache,ram,disque_dur,type_disk,carte_graphic,chipset_carte,connectors,couleur,grantie,prix
"1683666238-46","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=3","Pc Portable DELL Vostro 3510 i3 11è Gén 4Go 256Go SSD - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-4go-256go-ssd-noir.html","En stock","3510-I3-256SSD","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","4 Go","256 Go SSD","SSD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio","Noir","1 an",""
"1683666238-78","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=5","Pc Portable DELL Vostro 3510 i3 11è Gén 20Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-20go-1to-noir.html","En stock","735775-3510-20G","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3,00 GHz Up to 4,10 GHz Turbo max","6 Mo","20 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an",""
"1683666246-1","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 8Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-8go-1to-bleu.html","En stock","81WB00XVFG-8G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2.10 GHz up to 4.10 GHz Turbo max","4 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","999,000 DT"
"1683666249-2","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15IML05 i3 10è Gén 12Go 1To - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15iml05-i3-10e-gen-12go-1to.html","En stock","81WB00XYFG-12G","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","12 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Bleu","1 an","Prix spécial 999,000 DT      Ancien prix 1 079,000 DT  -80DT"
"1683666252-3","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3510 i3 11è Gén 8Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3510-i3-11e-gen-8go-1to-noir.html","En stock","735775-3510-8G","DELL","VOSTRO 3510","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1115G4","3,00 GHz Up to 4,10 GHz Turbo max","6 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x USB 2.0, 1x HDMI 1.4, 1x RJ45,1x prise jack audio","Noir","1 an","Prix spécial 999,000 DT      Ancien prix 1 095,000 DT  -96DT"
"1683666255-4","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable HP 250 G8 i3 10è Gén 8Go 1To - Argent Foncé","https://www.mytek.tn/pc-portable-hp-250-g8-i3-10e-gen-8go-1to-argent-fonce.html","En stock","27K10EA-8G","HP","250 G8","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel® Core™ i3-1005G1","1,20 GHz up to 3,40 GHz Turbo max","4 Mo","8 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","2x USB Type-A, 1x USB Type-C, 1x HDMI 1.4b, 1x RJ-45, 1 prise combinée casque/microphone, 1 prise d’alimentation secteur, Logements d'extension","Argent Foncé","1 an","999,000 DT"
"1683666258-5","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","Pc Portable DELL Vostro 3400 i3 11è Gén 12Go 1To - Noir","https://www.mytek.tn/pc-portable-dell-vostro-3400-i3-11e-gen-12go-1to-noir.html","En stock","N6004VN3400EMEA01-12G","DELL","VOSTRO 3400","Non","","","1366 x 768 pixels","Intel Core i3","Dual Core","Intel Core i3-1115G4","3.00 GHz up to 4,10 GHz Turbo max","6 Mo","12 Go","1 To HDD","HDD","Graphique Intégrée","Intel HD","1x USB 2.0 Type-A , 2x USB 3.2 Gen 1 Type-A, 1x HDMI 1.4,1x RJ-45, 1 prise jack pour casque 3.5 mm","Noir","1 an","995,000 DT"
"1683666261-6","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO V15 IML i3 10è Gén 4Go 1To - Gris","https://www.mytek.tn/pc-portable-lenovo-v15-iml-i3-10e-gen-4go-1to-gris-82nb000gfe.html","En stock","82NB000GFE","LENOVO","V15 IML","Non","","","1920 x 1080 pixels","Intel Core i3","Dual Core","Intel Core i3-10110U","2,10 GHz up to 4,10 GHz Turbo max","4 Mo","4 Go","1 To HDD","HDD","Graphique Intégrée","Intel UHD","1xUSB 2.0, 2x USB 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation","Gris","1 an","989,000 DT"
"1683666264-7","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 4Go 256Go SSD - Bleu","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-4g-256go-ssd-bleu.html","En stock","82KU01QFFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6GHz up to 3.8GHz Turbo max","4 Mo","4 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Bleu","1 an","Prix spécial 985,000 DT      Ancien prix 1 129,000 DT  -144DT"
"1683666267-8","https://www.mytek.tn/","Ordinateurs portables","https://www.mytek.tn/informatique/ordinateurs-portables.html","https://www.mytek.tn/informatique/ordinateurs-portables.html?p=2","PC Portable LENOVO IdeaPad 3 15ALC6 AMD RYZEN 3 4Go 256Go SSD - Gris","https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15alc6-amd-ryzen-3-4go-256go-ssd-gris.html","En stock","82KU01QGFG","LENOVO","IDEAPAD 3","Non","","","1920 x 1080 pixels","AMD Ryzen 3","Quad Core","AMD Ryzen™ 3 5300U","2.6 GHz Up to 3.8 GHz Turbo max","4 Mo","4 Go","256 Go SSD","SSD","AMD Radeon","AMD Radeon","1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte","Gris","1 an","Prix spécial 985,000 DT      Ancien prix 1 129,000 DT  -144DT"
